"sale_date","isbn","COUNT"
"18/4/2193","989-28-229-5891-8",1
"18/4/2193","989-28-229-0197-6",1
"18/4/2193","989-28-229-1404-4",3
"18/4/2193","989-28-229-6632-6",1
"18/4/2193","989-28-229-9769-6",1
"18/4/2193","989-28-229-7592-2",1
"18/4/2193","989-28-229-3157-7",1
"18/4/2193","989-28-79-74374-1",6
"18/4/2193","989-28-79-68089-3",2
"18/4/2193","989-28-79-26824-4",2
"18/4/2193","989-28-79-71565-6",2
"18/4/2193","989-28-79-13801-1",5
"18/4/2193","989-28-79-23023-4",3
"18/4/2193","989-28-79-40897-8",1
"18/4/2193","989-28-3705-492-6",3
"18/4/2193","989-28-3705-222-9",2
"18/4/2193","989-28-79-14379-4",1
"18/4/2193","989-28-79-03683-6",2
"18/4/2193","989-28-79-01991-4",1
"18/4/2193","989-28-79-11297-4",1
"18/4/2193","989-28-3705-136-9",1
"18/4/2193","989-28-79-55752-2",1
"18/4/2193","989-28-3705-138-3",2
"18/4/2193","989-28-79-05670-4",1
"18/4/2193","989-28-79-16826-1",1
"19/4/2193","989-28-3705-987-7",3
"19/4/2193","989-28-3705-138-3",2
"19/4/2193","989-28-3705-054-6",2
"19/4/2193","989-28-3705-007-2",8
"19/4/2193","989-28-3705-649-4",2
"19/4/2193","989-28-79-07610-8",1
"19/4/2193","989-28-79-27078-0",1
"19/4/2193","989-28-79-18127-7",2
"19/4/2193","989-28-79-11297-4",1
"19/4/2193","989-28-79-01991-4",1
"19/4/2193","989-28-79-82125-8",6
"19/4/2193","989-28-79-13871-4",6
"19/4/2193","989-28-79-69807-2",8
"19/4/2193","989-28-79-05670-4",2
"19/4/2193","989-28-229-3157-7",3
"19/4/2193","989-28-229-6632-6",3
"19/4/2193","989-28-229-0197-6",2
"19/4/2193","989-28-229-5891-8",3
"19/4/2193","989-28-229-7592-2",3
"19/4/2193","989-28-229-9769-6",2
"19/4/2193","989-28-79-13801-1",10
"19/4/2193","989-28-79-74374-1",8
"19/4/2193","989-28-79-40897-8",3
"19/4/2193","989-28-79-23023-4",10
"19/4/2193","989-28-79-51397-9",3
"19/4/2193","989-28-79-55824-6",1
"19/4/2193","989-28-79-91028-0",5
"19/4/2193","989-28-79-71565-6",3
"19/4/2193","989-28-79-26824-4",4
"19/4/2193","989-28-3705-492-6",5
"19/4/2193","989-28-3705-222-9",10
"19/4/2193","989-28-3705-607-4",1
"19/4/2193","989-28-3705-205-2",1
"19/4/2193","989-28-79-45675-7",1
"19/4/2193","989-28-79-68089-3",3
"19/4/2193","989-28-3705-152-9",2
"19/4/2193","989-28-79-23015-9",1
"19/4/2193","989-28-654-0047-4",1
"19/4/2193","989-28-229-1404-4",2
"20/4/2193","989-28-3705-987-7",8
"20/4/2193","989-28-3705-583-1",2
"20/4/2193","989-28-3705-775-0",1
"20/4/2193","989-28-3705-007-2",6
"20/4/2193","989-28-3705-138-3",1
"20/4/2193","989-28-79-45675-7",4
"20/4/2193","989-28-79-30536-9",3
"20/4/2193","989-28-79-16826-1",1
"20/4/2193","989-28-79-01991-4",1
"20/4/2193","989-28-79-11297-4",2
"20/4/2193","989-28-79-04510-4",1
"20/4/2193","989-28-79-86624-2",1
"20/4/2193","989-28-79-67891-3",1
"20/4/2193","989-28-79-18127-7",1
"20/4/2193","989-28-654-0127-3",1
"20/4/2193","989-28-79-69807-2",10
"20/4/2193","989-28-79-13871-4",4
"20/4/2193","989-28-79-82125-8",4
"20/4/2193","989-28-79-22562-9",1
"20/4/2193","989-28-79-82749-6",4
"20/4/2193","989-28-654-6507-7",1
"20/4/2193","989-28-229-1404-4",2
"20/4/2193","989-28-229-3157-7",4
"20/4/2193","989-28-229-7592-2",2
"20/4/2193","989-28-229-6632-6",2
"20/4/2193","989-28-229-5891-8",2
"20/4/2193","989-28-79-40897-8",8
"20/4/2193","989-28-79-91028-0",7
"20/4/2193","989-28-79-74374-1",11
"20/4/2193","989-28-79-13801-1",11
"20/4/2193","989-28-79-68089-3",5
"20/4/2193","989-28-79-23023-4",11
"20/4/2193","989-28-79-16533-8",1
"20/4/2193","989-28-79-55752-2",1
"20/4/2193","989-28-79-71565-6",2
"20/4/2193","989-28-79-16808-7",2
"20/4/2193","989-28-79-26824-4",2
"20/4/2193","989-28-79-36485-4",1
"20/4/2193","989-28-3705-492-6",8
"20/4/2193","989-28-3705-222-9",11
"20/4/2193","989-28-79-03683-6",1
"20/4/2193","989-28-79-51397-9",1
"20/4/2193","989-28-654-6033-1",1
"21/4/2193","989-28-79-69807-2",10
"21/4/2193","989-28-3705-007-2",10
"21/4/2193","989-28-3705-987-7",8
"21/4/2193","989-28-3705-054-6",1
"21/4/2193","989-28-3705-583-1",1
"21/4/2193","989-28-3705-649-4",3
"21/4/2193","989-28-79-45675-7",7
"21/4/2193","989-28-79-16826-1",1
"21/4/2193","989-28-79-70597-8",1
"21/4/2193","989-28-79-61125-5",1
"21/4/2193","989-28-79-22871-2",2
"21/4/2193","989-28-79-42728-3",1
"21/4/2193","989-28-79-05638-4",2
"21/4/2193","989-28-79-21991-8",1
"21/4/2193","989-28-654-0127-3",1
"21/4/2193","989-28-79-05670-4",5
"21/4/2193","989-28-79-82749-6",6
"21/4/2193","989-28-79-82125-8",2
"21/4/2193","989-28-79-13871-4",4
"21/4/2193","989-28-654-6033-1",1
"21/4/2193","989-28-229-6632-6",5
"21/4/2193","989-28-229-9769-6",1
"21/4/2193","989-28-229-1404-4",2
"21/4/2193","989-28-229-3157-7",1
"21/4/2193","989-28-229-5891-8",1
"21/4/2193","989-28-79-13801-1",9
"21/4/2193","989-28-79-74374-1",8
"21/4/2193","989-28-79-23023-4",8
"21/4/2193","989-28-79-51397-9",1
"21/4/2193","989-28-79-68089-3",7
"21/4/2193","989-28-79-40897-8",4
"21/4/2193","989-28-79-71565-6",1
"21/4/2193","989-28-79-91028-0",2
"21/4/2193","989-28-3705-222-9",8
"21/4/2193","989-28-79-14379-4",2
"21/4/2193","989-28-3705-492-6",4
"21/4/2193","989-28-79-26824-4",2
"21/4/2193","989-28-79-44730-4",1
"21/4/2193","989-28-79-32105-5",1
"22/4/2193","989-28-79-69807-2",4
"22/4/2193","989-28-3705-987-7",5
"22/4/2193","989-28-3705-007-2",8
"22/4/2193","989-28-3705-583-1",1
"22/4/2193","989-28-79-11297-4",2
"22/4/2193","989-28-79-30536-9",2
"22/4/2193","989-28-79-16826-1",1
"22/4/2193","989-28-79-04510-4",1
"22/4/2193","989-28-79-05670-4",2
"22/4/2193","989-28-79-13871-4",4
"22/4/2193","989-28-79-82125-8",4
"22/4/2193","989-28-654-4370-9",1
"22/4/2193","989-28-229-6632-6",3
"22/4/2193","989-28-229-1404-4",6
"22/4/2193","989-28-229-7592-2",5
"22/4/2193","989-28-229-9769-6",2
"22/4/2193","989-28-229-0197-6",1
"22/4/2193","989-28-79-40897-8",3
"22/4/2193","989-28-79-23023-4",4
"22/4/2193","989-28-79-13801-1",7
"22/4/2193","989-28-79-74374-1",10
"22/4/2193","989-28-79-68089-3",1
"22/4/2193","989-28-79-26824-4",1
"22/4/2193","989-28-3705-492-6",3
"22/4/2193","989-28-3705-222-9",5
"22/4/2193","989-28-79-36485-4",1
"22/4/2193","989-28-3705-592-3",1
"22/4/2193","989-28-229-5891-8",1
"23/4/2193","989-28-79-69807-2",16
"23/4/2193","989-28-3705-007-2",7
"23/4/2193","989-28-3705-987-7",3
"23/4/2193","989-28-3705-138-3",1
"23/4/2193","989-28-3705-592-3",1
"23/4/2193","989-28-3705-583-1",1
"23/4/2193","989-28-79-45675-7",2
"23/4/2193","989-28-79-82197-5",2
"23/4/2193","989-28-79-61125-5",1
"23/4/2193","989-28-79-22871-2",1
"23/4/2193","989-28-79-04510-4",2
"23/4/2193","989-28-79-86624-2",1
"23/4/2193","989-28-79-01991-4",1
"23/4/2193","989-28-654-5018-9",1
"23/4/2193","989-28-79-82749-6",2
"23/4/2193","989-28-79-13871-4",8
"23/4/2193","989-28-79-82125-8",2
"23/4/2193","989-28-229-9769-6",3
"23/4/2193","989-28-229-1404-4",2
"23/4/2193","989-28-229-3157-7",1
"23/4/2193","989-28-229-7592-2",4
"23/4/2193","989-28-79-26824-4",5
"23/4/2193","989-28-79-13801-1",5
"23/4/2193","989-28-79-23023-4",5
"23/4/2193","989-28-79-74374-1",6
"23/4/2193","989-28-79-91028-0",1
"23/4/2193","989-28-79-40897-8",2
"23/4/2193","989-28-79-68089-3",1
"23/4/2193","989-28-79-55752-2",1
"23/4/2193","989-28-79-55824-6",2
"23/4/2193","989-28-3705-222-9",1
"23/4/2193","989-28-3705-607-4",1
"23/4/2193","989-28-3705-492-6",1
"23/4/2193","989-28-79-23015-9",1
"23/4/2193","989-28-229-5891-8",1
"24/4/2193","989-28-79-69807-2",16
"24/4/2193","989-28-3705-966-2",1
"24/4/2193","989-28-3705-649-4",1
"24/4/2193","989-28-3705-138-3",1
"24/4/2193","989-28-3705-007-2",8
"24/4/2193","989-28-3705-775-0",1
"24/4/2193","989-28-79-30536-9",1
"24/4/2193","989-28-79-45675-7",3
"24/4/2193","989-28-79-32105-5",2
"24/4/2193","989-28-79-16826-1",1
"24/4/2193","989-28-79-27078-0",1
"24/4/2193","989-28-79-13871-4",2
"24/4/2193","989-28-79-05670-4",2
"24/4/2193","989-28-229-5891-8",1
"24/4/2193","989-28-229-1404-4",4
"24/4/2193","989-28-229-6632-6",3
"24/4/2193","989-28-229-9769-6",1
"24/4/2193","989-28-79-71565-6",3
"24/4/2193","989-28-79-13801-1",5
"24/4/2193","989-28-79-74374-1",12
"24/4/2193","989-28-79-26824-4",4
"24/4/2193","989-28-79-23023-4",3
"24/4/2193","989-28-79-91028-0",3
"24/4/2193","989-28-79-51397-9",1
"24/4/2193","989-28-79-68089-3",1
"24/4/2193","989-28-3705-222-9",1
"24/4/2193","989-28-3705-492-6",1
"24/4/2193","989-28-79-05638-4",1
"24/4/2193","989-28-229-7592-2",3
"25/4/2193","989-28-79-69807-2",8
"25/4/2193","989-28-3705-138-3",1
"25/4/2193","989-28-3705-007-2",5
"25/4/2193","989-28-3705-054-6",1
"25/4/2193","989-28-3705-987-7",3
"25/4/2193","989-28-3705-152-9",1
"25/4/2193","989-28-3705-966-2",2
"25/4/2193","989-28-79-16826-1",1
"25/4/2193","989-28-79-82749-6",2
"25/4/2193","989-28-654-9826-6",1
"25/4/2193","989-28-229-9769-6",3
"25/4/2193","989-28-229-5891-8",2
"25/4/2193","989-28-229-1404-4",1
"25/4/2193","989-28-229-0197-6",1
"25/4/2193","989-28-229-7592-2",1
"25/4/2193","989-28-229-6632-6",1
"25/4/2193","989-28-79-40897-8",4
"25/4/2193","989-28-79-13801-1",11
"25/4/2193","989-28-79-23023-4",12
"25/4/2193","989-28-79-74374-1",4
"25/4/2193","989-28-79-51397-9",2
"25/4/2193","989-28-79-26824-4",1
"25/4/2193","989-28-79-16533-8",1
"25/4/2193","989-28-79-16808-7",2
"25/4/2193","989-28-3705-492-6",2
"25/4/2193","989-28-3705-222-9",3
"25/4/2193","989-28-654-8573-0",1
"25/4/2193","989-28-79-05670-4",2
"25/4/2193","989-28-79-11297-4",1
"25/4/2193","989-28-79-82339-9",1
"25/4/2193","989-28-79-45675-7",1
"25/4/2193","989-28-79-52883-6",1
"25/4/2193","989-28-3705-592-3",1
"25/4/2193","989-28-79-13871-4",2
"25/4/2193","989-28-3705-369-1",1
"26/4/2193","989-28-79-69807-2",20
"26/4/2193","989-28-3705-007-2",11
"26/4/2193","989-28-3705-987-7",5
"26/4/2193","989-28-3705-054-6",1
"26/4/2193","989-28-3705-152-9",1
"26/4/2193","989-28-3705-138-3",1
"26/4/2193","989-28-79-30536-9",3
"26/4/2193","989-28-79-45675-7",1
"26/4/2193","989-28-79-11297-4",1
"26/4/2193","989-28-79-07610-8",1
"26/4/2193","989-28-79-05638-4",1
"26/4/2193","989-28-654-3899-6",1
"26/4/2193","989-28-79-13871-4",14
"26/4/2193","989-28-79-82749-6",10
"26/4/2193","989-28-79-82125-8",2
"26/4/2193","989-28-79-05670-4",1
"26/4/2193","989-28-654-0047-4",1
"26/4/2193","989-28-229-1404-4",7
"26/4/2193","989-28-229-6632-6",3
"26/4/2193","989-28-229-7592-2",3
"26/4/2193","989-28-229-9769-6",5
"26/4/2193","989-28-229-5891-8",3
"26/4/2193","989-28-229-3157-7",1
"26/4/2193","989-28-79-26824-4",6
"26/4/2193","989-28-79-40897-8",2
"26/4/2193","989-28-79-74374-1",13
"26/4/2193","989-28-79-13801-1",14
"26/4/2193","989-28-79-71565-6",2
"26/4/2193","989-28-79-23023-4",5
"26/4/2193","989-28-79-91028-0",4
"26/4/2193","989-28-79-55824-6",2
"26/4/2193","989-28-79-68089-3",2
"26/4/2193","989-28-79-44730-4",1
"26/4/2193","989-28-3705-222-9",7
"26/4/2193","989-28-79-03683-6",1
"26/4/2193","989-28-654-6033-1",1
"26/4/2193","989-28-79-18127-7",1
"26/4/2193","989-28-79-16826-1",1
"27/4/2193","989-28-3705-007-2",19
"27/4/2193","989-28-3705-987-7",7
"27/4/2193","989-28-3705-775-0",1
"27/4/2193","989-28-3705-152-9",2
"27/4/2193","989-28-3705-136-9",2
"27/4/2193","989-28-3705-583-1",2
"27/4/2193","989-28-3705-649-4",2
"27/4/2193","989-28-79-61125-5",1
"27/4/2193","989-28-79-82197-5",4
"27/4/2193","989-28-79-30536-9",3
"27/4/2193","989-28-79-11297-4",4
"27/4/2193","989-28-79-45675-7",4
"27/4/2193","989-28-79-27078-0",1
"27/4/2193","989-28-79-67891-3",1
"27/4/2193","989-28-79-22871-2",1
"27/4/2193","989-28-79-01991-4",2
"27/4/2193","989-28-79-52883-6",1
"27/4/2193","989-28-79-04510-4",1
"27/4/2193","989-28-79-05670-4",8
"27/4/2193","989-28-79-13871-4",8
"27/4/2193","989-28-79-82749-6",2
"27/4/2193","989-28-79-82125-8",4
"27/4/2193","989-28-79-69807-2",4
"27/4/2193","989-28-654-8573-0",2
"27/4/2193","989-28-229-3157-7",3
"27/4/2193","989-28-229-7592-2",5
"27/4/2193","989-28-229-1404-4",8
"27/4/2193","989-28-229-6632-6",4
"27/4/2193","989-28-229-9769-6",5
"27/4/2193","989-28-229-5891-8",2
"27/4/2193","989-28-229-0197-6",2
"27/4/2193","989-28-79-71565-6",3
"27/4/2193","989-28-79-40897-8",9
"27/4/2193","989-28-79-74374-1",11
"27/4/2193","989-28-79-36485-4",4
"27/4/2193","989-28-79-26824-4",7
"27/4/2193","989-28-79-23023-4",8
"27/4/2193","989-28-79-91028-0",6
"27/4/2193","989-28-79-68089-3",6
"27/4/2193","989-28-79-13801-1",9
"27/4/2193","989-28-79-55824-6",2
"27/4/2193","989-28-79-55752-2",1
"27/4/2193","989-28-3705-492-6",2
"27/4/2193","989-28-3705-222-9",1
"27/4/2193","989-28-79-03683-6",1
"27/4/2193","989-28-79-05638-4",1
"27/4/2193","989-28-79-23015-9",1
"28/4/2193","989-28-79-69807-2",12
"28/4/2193","989-28-3705-492-6",4
"28/4/2193","989-28-79-74374-1",17
"28/4/2193","989-28-79-71565-6",6
"28/4/2193","989-28-3705-007-2",8
"28/4/2193","989-28-79-26824-4",3
"28/4/2193","989-28-79-23023-4",11
"28/4/2193","989-28-79-05670-4",8
"28/4/2193","989-28-79-13871-4",10
"28/4/2193","989-28-79-68089-3",5
"28/4/2193","989-28-79-55752-2",2
"28/4/2193","989-28-79-13801-1",14
"28/4/2193","989-28-79-44730-4",1
"28/4/2193","989-28-229-7592-2",5
"28/4/2193","989-28-229-6632-6",7
"28/4/2193","989-28-79-40897-8",3
"28/4/2193","989-28-79-82197-5",1
"28/4/2193","989-28-3705-775-0",1
"28/4/2193","989-28-3705-966-2",2
"28/4/2193","989-28-3705-987-7",7
"28/4/2193","989-28-3705-369-1",1
"28/4/2193","989-28-3705-138-3",2
"28/4/2193","989-28-3705-136-9",1
"28/4/2193","989-28-3705-592-3",1
"28/4/2193","989-28-79-45675-7",5
"28/4/2193","989-28-79-27078-0",1
"28/4/2193","989-28-79-86624-2",1
"28/4/2193","989-28-79-11297-4",2
"28/4/2193","989-28-79-21991-8",1
"28/4/2193","989-28-79-04510-4",2
"28/4/2193","989-28-79-61125-5",1
"28/4/2193","989-28-654-3899-6",1
"28/4/2193","989-28-654-5018-9",1
"28/4/2193","989-28-79-82125-8",2
"28/4/2193","989-28-79-22562-9",1
"28/4/2193","989-28-229-9769-6",6
"28/4/2193","989-28-229-1404-4",4
"28/4/2193","989-28-229-0197-6",2
"28/4/2193","989-28-79-91028-0",4
"28/4/2193","989-28-79-55824-6",2
"28/4/2193","989-28-79-43574-5",1
"28/4/2193","989-28-79-36485-4",1
"28/4/2193","989-28-3705-222-9",6
"28/4/2193","989-28-79-14379-4",1
"28/4/2193","989-28-79-03683-6",1
"28/4/2193","989-28-79-01991-4",1
"28/4/2193","989-28-79-22871-2",1
"29/4/2193","989-28-79-69807-2",10
"29/4/2193","989-28-3705-007-2",11
"29/4/2193","989-28-3705-987-7",4
"29/4/2193","989-28-3705-966-2",2
"29/4/2193","989-28-3705-152-9",2
"29/4/2193","989-28-79-27078-0",1
"29/4/2193","989-28-79-45675-7",5
"29/4/2193","989-28-79-32105-5",2
"29/4/2193","989-28-79-04510-4",1
"29/4/2193","989-28-79-01991-4",1
"29/4/2193","989-28-79-11297-4",1
"29/4/2193","989-28-79-21991-8",1
"29/4/2193","989-28-654-0127-3",1
"29/4/2193","989-28-79-13871-4",6
"29/4/2193","989-28-79-82749-6",2
"29/4/2193","989-28-79-82125-8",2
"29/4/2193","989-28-79-05670-4",5
"29/4/2193","989-28-654-6507-7",1
"29/4/2193","989-28-229-9769-6",7
"29/4/2193","989-28-229-5891-8",2
"29/4/2193","989-28-229-1404-4",6
"29/4/2193","989-28-229-3157-7",1
"29/4/2193","989-28-229-0197-6",1
"29/4/2193","989-28-79-36485-4",2
"29/4/2193","989-28-79-71565-6",2
"29/4/2193","989-28-79-55752-2",2
"29/4/2193","989-28-79-74374-1",8
"29/4/2193","989-28-79-91028-0",3
"29/4/2193","989-28-79-40897-8",2
"29/4/2193","989-28-79-23023-4",8
"29/4/2193","989-28-79-13801-1",9
"29/4/2193","989-28-79-51397-9",2
"29/4/2193","989-28-79-55824-6",1
"29/4/2193","989-28-79-68089-3",1
"29/4/2193","989-28-79-26824-4",5
"29/4/2193","989-28-3705-222-9",4
"29/4/2193","989-28-3705-492-6",3
"29/4/2193","989-28-79-03683-6",3
"29/4/2193","989-28-79-14379-4",1
"29/4/2193","989-28-79-82197-5",1
"29/4/2193","989-28-229-7592-2",1
"29/4/2193","989-28-3705-054-6",1
"30/4/2193","989-28-79-69807-2",8
"30/4/2193","989-28-3705-592-3",1
"30/4/2193","989-28-3705-987-7",2
"30/4/2193","989-28-3705-007-2",4
"30/4/2193","989-28-3705-966-2",1
"30/4/2193","989-28-79-45675-7",4
"30/4/2193","989-28-79-82197-5",1
"30/4/2193","989-28-79-07610-8",1
"30/4/2193","989-28-79-30536-9",1
"30/4/2193","989-28-79-11297-4",2
"30/4/2193","989-28-79-32105-5",1
"30/4/2193","989-28-79-13871-4",2
"30/4/2193","989-28-79-05670-4",3
"30/4/2193","989-28-229-0197-6",3
"30/4/2193","989-28-229-1404-4",3
"30/4/2193","989-28-229-7592-2",2
"30/4/2193","989-28-229-5891-8",2
"30/4/2193","989-28-229-9769-6",2
"30/4/2193","989-28-79-91028-0",1
"30/4/2193","989-28-79-40897-8",2
"30/4/2193","989-28-79-13801-1",2
"30/4/2193","989-28-79-74374-1",2
"30/4/2193","989-28-79-51397-9",1
"30/4/2193","989-28-79-23023-4",2
"30/4/2193","989-28-79-36485-4",1
"30/4/2193","989-28-79-71565-6",2
"30/4/2193","989-28-3705-222-9",2
"30/4/2193","989-28-3705-492-6",1
"30/4/2193","989-28-3705-136-9",1
"30/4/2193","989-28-79-23015-9",1
"30/4/2193","989-28-79-26824-4",1
"30/4/2193","989-28-79-68089-3",1
"1/5/2193","989-28-3705-007-2",10
"1/5/2193","989-28-3705-987-7",2
"1/5/2193","989-28-79-32105-5",3
"1/5/2193","989-28-79-01991-4",1
"1/5/2193","989-28-79-45675-7",2
"1/5/2193","989-28-79-11297-4",1
"1/5/2193","989-28-79-21991-8",2
"1/5/2193","989-28-79-05638-4",1
"1/5/2193","989-28-79-18127-7",1
"1/5/2193","989-28-79-13871-4",6
"1/5/2193","989-28-79-05670-4",3
"1/5/2193","989-28-79-82749-6",2
"1/5/2193","989-28-229-6632-6",4
"1/5/2193","989-28-229-7592-2",2
"1/5/2193","989-28-229-5891-8",1
"1/5/2193","989-28-229-1404-4",1
"1/5/2193","989-28-229-3157-7",1
"1/5/2193","989-28-229-9769-6",1
"1/5/2193","989-28-79-23023-4",10
"1/5/2193","989-28-79-91028-0",3
"1/5/2193","989-28-79-74374-1",1
"1/5/2193","989-28-79-71565-6",4
"1/5/2193","989-28-79-68089-3",3
"1/5/2193","989-28-79-13801-1",5
"1/5/2193","989-28-79-40897-8",1
"1/5/2193","989-28-79-44730-4",1
"1/5/2193","989-28-79-43574-5",1
"1/5/2193","989-28-3705-492-6",1
"1/5/2193","989-28-79-23015-9",2
"1/5/2193","989-28-3705-222-9",2
"1/5/2193","989-28-79-14379-4",2
"1/5/2193","989-28-3705-966-2",1
"1/5/2193","989-28-3705-138-3",1
"1/5/2193","989-28-654-6033-1",1
"1/5/2193","989-28-3705-583-1",1
"2/5/2193","989-28-3705-987-7",2
"2/5/2193","989-28-3705-007-2",5
"2/5/2193","989-28-3705-649-4",1
"2/5/2193","989-28-79-45675-7",3
"2/5/2193","989-28-79-21991-8",1
"2/5/2193","989-28-79-05670-4",1
"2/5/2193","989-28-79-69807-2",2
"2/5/2193","989-28-79-22562-9",2
"2/5/2193","989-28-79-13871-4",2
"2/5/2193","989-28-654-4370-9",1
"2/5/2193","989-28-654-8573-0",1
"2/5/2193","989-28-229-6632-6",3
"2/5/2193","989-28-229-7592-2",3
"2/5/2193","989-28-229-1404-4",2
"2/5/2193","989-28-229-9769-6",4
"2/5/2193","989-28-79-74374-1",6
"2/5/2193","989-28-79-68089-3",1
"2/5/2193","989-28-79-71565-6",3
"2/5/2193","989-28-79-91028-0",2
"2/5/2193","989-28-79-40897-8",1
"2/5/2193","989-28-79-13801-1",4
"2/5/2193","989-28-79-23023-4",7
"2/5/2193","989-28-79-26824-4",2
"2/5/2193","989-28-79-16808-7",1
"2/5/2193","989-28-3705-222-9",5
"2/5/2193","989-28-79-03683-6",1
"2/5/2193","989-28-3705-492-6",2
"2/5/2193","989-28-79-05638-4",1
"2/5/2193","989-28-79-43574-5",1
"2/5/2193","989-28-229-0197-6",1
"3/5/2193","989-28-3705-649-4",3
"3/5/2193","989-28-3705-007-2",9
"3/5/2193","989-28-3705-583-1",2
"3/5/2193","989-28-3705-369-1",2
"3/5/2193","989-28-3705-987-7",3
"3/5/2193","989-28-3705-136-9",1
"3/5/2193","989-28-3705-966-2",2
"3/5/2193","989-28-3705-592-3",1
"3/5/2193","989-28-3705-152-9",2
"3/5/2193","989-28-3705-138-3",1
"3/5/2193","989-28-79-16826-1",1
"3/5/2193","989-28-79-45675-7",3
"3/5/2193","989-28-79-11297-4",1
"3/5/2193","989-28-79-01991-4",1
"3/5/2193","989-28-654-0127-3",1
"3/5/2193","989-28-79-13871-4",6
"3/5/2193","989-28-79-69807-2",6
"3/5/2193","989-28-79-05670-4",1
"3/5/2193","989-28-654-6033-1",2
"3/5/2193","989-28-229-6632-6",4
"3/5/2193","989-28-229-1404-4",4
"3/5/2193","989-28-229-5891-8",1
"3/5/2193","989-28-229-0197-6",2
"3/5/2193","989-28-229-9769-6",1
"3/5/2193","989-28-79-23023-4",11
"3/5/2193","989-28-79-74374-1",11
"3/5/2193","989-28-79-13801-1",6
"3/5/2193","989-28-79-43574-5",1
"3/5/2193","989-28-79-40897-8",2
"3/5/2193","989-28-79-16808-7",1
"3/5/2193","989-28-79-71565-6",7
"3/5/2193","989-28-79-91028-0",7
"3/5/2193","989-28-79-26824-4",2
"3/5/2193","989-28-79-55752-2",1
"3/5/2193","989-28-79-14379-4",1
"3/5/2193","989-28-3705-222-9",5
"3/5/2193","989-28-3705-492-6",3
"3/5/2193","989-28-3705-054-6",1
"3/5/2193","989-28-229-7592-2",2
"3/5/2193","989-28-79-68089-3",1
"3/5/2193","989-28-79-22562-9",1
"3/5/2193","989-28-79-36485-4",1
"3/5/2193","989-28-654-2620-7",1
"4/5/2193","989-28-3705-966-2",4
"4/5/2193","989-28-3705-987-7",3
"4/5/2193","989-28-3705-054-6",1
"4/5/2193","989-28-3705-007-2",12
"4/5/2193","989-28-3705-583-1",2
"4/5/2193","989-28-3705-592-3",1
"4/5/2193","989-28-3705-136-9",1
"4/5/2193","989-28-79-82197-5",2
"4/5/2193","989-28-79-87459-9",1
"4/5/2193","989-28-79-05638-4",1
"4/5/2193","989-28-79-11297-4",2
"4/5/2193","989-28-79-32105-5",3
"4/5/2193","989-28-79-21991-8",1
"4/5/2193","989-28-79-30536-9",1
"4/5/2193","989-28-79-01991-4",2
"4/5/2193","989-28-79-04510-4",1
"4/5/2193","989-28-79-22871-2",3
"4/5/2193","989-28-79-45675-7",4
"4/5/2193","989-28-79-07610-8",1
"4/5/2193","989-28-79-61125-5",2
"4/5/2193","989-28-79-18127-7",1
"4/5/2193","989-28-654-3899-6",1
"4/5/2193","989-28-79-82749-6",4
"4/5/2193","989-28-79-69807-2",4
"4/5/2193","989-28-79-13871-4",14
"4/5/2193","989-28-79-22562-9",1
"4/5/2193","989-28-79-05670-4",5
"4/5/2193","989-28-79-82125-8",4
"4/5/2193","989-28-654-0047-4",1
"4/5/2193","989-28-229-7592-2",6
"4/5/2193","989-28-229-9769-6",8
"4/5/2193","989-28-229-1404-4",6
"4/5/2193","989-28-229-6632-6",3
"4/5/2193","989-28-229-0197-6",2
"4/5/2193","989-28-229-3157-7",1
"4/5/2193","989-28-229-5891-8",2
"4/5/2193","989-28-79-68089-3",8
"4/5/2193","989-28-79-23023-4",10
"4/5/2193","989-28-79-26824-4",6
"4/5/2193","989-28-79-13801-1",18
"4/5/2193","989-28-79-74374-1",15
"4/5/2193","989-28-79-55752-2",1
"4/5/2193","989-28-79-40897-8",4
"4/5/2193","989-28-79-43574-5",1
"4/5/2193","989-28-79-44730-4",1
"4/5/2193","989-28-3705-222-9",7
"4/5/2193","989-28-3705-492-6",2
"4/5/2193","989-28-79-16826-1",1
"4/5/2193","989-28-654-6033-1",1
"4/5/2193","989-28-79-55824-6",1
"4/5/2193","989-28-79-91028-0",4
"4/5/2193","989-28-79-03683-6",1
"4/5/2193","989-28-79-43841-8",1
"4/5/2193","989-28-79-36485-4",1
"5/5/2193","989-28-3705-583-1",1
"5/5/2193","989-28-3705-007-2",7
"5/5/2193","989-28-3705-136-9",1
"5/5/2193","989-28-3705-987-7",3
"5/5/2193","989-28-3705-592-3",4
"5/5/2193","989-28-3705-966-2",2
"5/5/2193","989-28-3705-649-4",2
"5/5/2193","989-28-3705-152-9",3
"5/5/2193","989-28-79-45675-7",6
"5/5/2193","989-28-79-11297-4",1
"5/5/2193","989-28-79-61125-5",1
"5/5/2193","989-28-79-04510-4",1
"5/5/2193","989-28-79-01991-4",2
"5/5/2193","989-28-79-18127-7",1
"5/5/2193","989-28-79-16826-1",1
"5/5/2193","989-28-79-21991-8",1
"5/5/2193","989-28-79-22871-2",2
"5/5/2193","989-28-79-82197-5",2
"5/5/2193","989-28-79-87459-9",1
"5/5/2193","989-28-654-3899-6",1
"5/5/2193","989-28-654-0127-3",1
"5/5/2193","989-28-79-05670-4",5
"5/5/2193","989-28-79-82749-6",2
"5/5/2193","989-28-79-13871-4",6
